sheet,codigo,imagen_indice_en_hoja,archivo,sha256,width,height
E58,CT18,1,65029035fce6028f.png,65029035fce6028fc5d99ea150f2a707a52b6c7632db547fad5d5a6037f97b6c,1332,854
E58,CT18,2,f8778b34e272d57e.jpg,f8778b34e272d57ec87d59cbd6caf287463bdcb094704a81faca103fc4e37227,12,77
E59,CT19,1,f8778b34e272d57e.jpg,f8778b34e272d57ec87d59cbd6caf287463bdcb094704a81faca103fc4e37227,12,77
E59,CT19,2,673f997705722a47.png,673f997705722a478998d156580f450c14f4674299bef15e09c39e5dca404256,250,243
E59,CT19,3,c7a3ebdf4ae55cd4.png,c7a3ebdf4ae55cd4c58600bcda94bf870dcd0ca09fcc9353898b2af56d3572b4,15,28
E59,CT19,4,6483e7b59a19dd5d.png,6483e7b59a19dd5d9d9e67be264f4fa1d8beb85aa8702170ddc2ec3884ab4b8b,1357,864
E60,AC1,1,5549f6dcd2f092c9.png,5549f6dcd2f092c9c7d7c0196ea47c6e65219078a788895c875b546922e3eea1,1343,868
E61,AC2,1,c113c01273fecd13.png,c113c01273fecd13789eee8b30d679deb0740533e936016bcad0d51a260848b5,1353,864
E62,AC3,1,69b0a2b44aaf1f90.png,69b0a2b44aaf1f900d3a8968670484870e838a82d8b579907024fec8cac82969,1361,876
E63,AC4,1,9cc235950e6ce514.png,9cc235950e6ce51426f34c0748a4794478acabb3ef1a2054bae1e969bdacf616,1326,865
E64,AC5,1,f86388ae98bd77ef.png,f86388ae98bd77ef9c380fe4b35c20fe2c9190fe7452c87e36ad77755dbc5046,1366,851
E65,ABP1,1,73f357e35c9ec53b.png,73f357e35c9ec53b2c1b617c020f8914a0a0e9ae7fb2c43063df640e58c40ebf,1342,864
E66,JPS,1,906f2e58c3b29582.png,906f2e58c3b29582b24d8280ef0534f228f64565f7f3fde602bc71141052552c,1385,866
E66,JPS,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E67,JPS2,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E67,JPS2,2,b5671092691b1bd9.png,b5671092691b1bd9dbe92e73ee30043bbcda85963a1b6b5b95c4148ecaa00db3,1346,858
E68,JPS3,1,c6e39ff5cccb81f8.png,c6e39ff5cccb81f842235f56d9db30e16c458f35ca3a3a6d5d4296ca7be3891a,1278,829
E69,JPS4,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E69,JPS4,2,72e4e5bf733b3823.png,72e4e5bf733b3823a8690c81be01e2803e242dcef3dc8feb01187f1b78a0e8be,1362,838
E70,JPS5,1,cd64b7ffa887a231.png,cd64b7ffa887a2312b70d2ebdc24defc584ca6f19354647b1c4a1f09e143469a,1326,847
E71,JPS6,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E71,JPS6,2,37833f2ff0c4f166.png,37833f2ff0c4f1669311ab2ae0f2ca123002c297cec8e4276c585c81df28d845,1345,842
E72,JPS7,1,41a3cd26b1150f0d.png,41a3cd26b1150f0d34a43ef0c0f810d57e12c2f17f26bcf66647a9883c2a6944,1294,846
E73,JPS8,1,42a1aa74afe5c28f.png,42a1aa74afe5c28fc9dddbfbbccc06b836eff7e3beba33701ba3ee8ca00d171f,1294,833
E74,JPS9,1,39f96dfdf2d4941c.png,39f96dfdf2d4941c14cdf77655cd004ce0204ef619ed5404ef486b5bf2666bee,1285,852
E75,JPS10,1,2ae21833aac442c4.png,2ae21833aac442c41e3f51eb09e0529767fcb2d790448099b6a722b81677c34f,1205,861
E75,JPS10,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E76,JPS11,1,53c6b0a330085159.png,53c6b0a330085159544938e652cf8c3dcbf5ad5a219879acf433deb1c9aef100,1050,863
E77,JPS12,1,28b81ac56547e5b9.png,28b81ac56547e5b9d88c38920a7d521416dd941925bae6782c35c7b127d20358,1327,851
E78,JPS78,1,4b179ffa27a3d417.png,4b179ffa27a3d4171e5d6f7171c600c8d0c44b734624edf31d7a1ce7db2d0091,1279,848
E78,JPS78,2,4b7cf0b060e3061d.jpg,4b7cf0b060e3061d2ab17083e6c7ecc516b52992fe42e50f94fbd1819191cfb6,12,77
